domain_name,tilt,tilt_ridge_alpha,tilt_temperature,mean,sem
jaco,False,-,-,37.5659166872501,6.65705873027193
jaco,True,0.001,10,34.4230187733968,8.19702347388218
jaco,True,0.001,20,36.1852852503459,1.882270442079
jaco,True,0.01,10,46.285240928332,3.50084919161841
jaco,True,0.01,20,43.1399868925413,14.860688251016
jaco,True,0.1,10,31.8307753472278,2.82102002649612
jaco,True,0.1,20,31.616587082545,2.57713991722909
point_mass_maze,False,-,-,148.525277180142,30.0587556249935
point_mass_maze,True,0.001,10,161.426876068115,62.3839957703533
point_mass_maze,True,0.001,20,163.698797845269,25.5665517062967
point_mass_maze,True,0.01,10,178.295516563147,32.415774295972
point_mass_maze,True,0.01,20,127.650659131701,36.1454687077679
point_mass_maze,True,0.1,10,137.443218285871,39.5214420796314
point_mass_maze,True,0.1,20,190.91017595927,23.9260926611408
quadruped,False,-,-,625.738925933838,8.25792264909415
quadruped,True,0.001,10,595.056372960409,49.8621626157666
quadruped,True,0.001,20,590.778026072184,13.7779288592128
quadruped,True,0.01,10,634.620334625244,5.1493946166213
quadruped,True,0.01,20,600.64242254893,19.412817109371
quadruped,True,0.1,10,617.24917678833,8.13617365489894
quadruped,True,0.1,20,621.406081899007,30.0082633367955
walker,False,-,-,477.061939239502,10.2011760204166
walker,True,0.001,10,567.975107828776,18.1711025928263
walker,True,0.001,20,563.458380381266,12.2919141667613
walker,True,0.01,10,526.643343607585,14.7121174623467
walker,True,0.01,20,571.732513427734,46.9695669040887
walker,True,0.1,10,528.605433146159,10.6970610922636
walker,True,0.1,20,565.147141774496,26.0837311828615
